Boat Name,gear_type
Tanzilu,Ring_net
Baba Wawili,Handline
Moyo tulia,Longline
BinAyubu,Ring_net
Mwajirina,Ring_net
Arhama,Ring_net
Nashukuru,Gillnet
Hainashaka,Ring_net
Fikra zao Mkoani,Ring_net
Jamila,Handline
Itabaki stori,Ring_net
Kisuna,Ring_net
Kisuna,Ring_net
Big up,Ring_net
Angalia Mbele,Ring_net
BinAyubu,Ring_net
Moyo tulia,Longline
Arhama,Ring_net
Fikra zao Mkoani,Ring_net
Tanzilu,Ring_net
Itabaki stori,Ring_net
Cheka nao,Longline
Jamila,Handline
Jamila,Handline
BinAyubu,Ring_net
Tanzilu,Ring_net
Arhama,Ring_net
Moyo tulia,Longline
Itabaki stori,Ring_net
Kambi popote,Unknown
Suleiman Shariff Haji,Longline
Suleiman Shariff Haji,Longline
Kisuna,Ring_net
Tanzilu,Ring_net
BinAyubu,Ring_net
Angalia Mbele,Ring_net
Arhama,Ring_net
Itabaki stori,Ring_net
Kambi popote,Unknown
Moyo tulia,Longline
Big up,Ring_net
Jamila,Handline
Jamila,Handline
Kisuna,Ring_net
BinAyubu,Ring_net
Arhama,Ring_net
Itabaki stori,Ring_net
Taysir,Ring_net
Moyo tulia,Longline
Big up,Ring_net
Tajiri mtoto,Ring_net
Baba Wawili,Handline
Jamila,Handline
BinAyubu,Ring_net
Arhama,Ring_net
Baba Wawili,Handline
LAZIZI,Seine
Uzuri Ngamani,Handline
Moyo tulia,Longline
Tajiri mtoto,Ring_net
Itabaki stori,Ring_net
Jamila,Handline
LAZIZI,Seine
Arhama,Ring_net
BinAyubu,Ring_net
Moyo tulia,Longline
Big up,Ring_net
Baba Wawili,Handline
Itabaki stori,Ring_net
Tajiri mtoto,Ring_net
Kisuna,Ring_net
Al Farooq,Handline
BinAyubu,Ring_net
LAZIZI,Seine
Itabaki stori,Ring_net
Al Farooq,Handline
Kambi popote,Unknown
Arhama,Ring_net
Moyo tulia,Longline
Baba Wawili,Handline
Angalia Mbele,Ring_net
Mwajirina,Ring_net
BinAyubu,Ring_net
Fikra zao Mkoani,Ring_net
Arhama,Ring_net
Kisuna,Ring_net
Kambi popote,Unknown
Baba Wawili,Handline
Kisuna,Ring_net
Tajiri mtoto,Ring_net
Tajiri mtoto,Ring_net
Kisuna,Ring_net
Mwajirina,Ring_net
Tanzilu,Ring_net
Fikra zao Mkoani,Ring_net
Itabaki stori,Ring_net
Arhama,Ring_net
BinAyubu,Ring_net
Baba Wawili,Handline
Itabaki stori,Ring_net
Moyo tulia,Longline
Kambi popote,Unknown
Al Farooq,Handline
Al Farooq,Handline
Jamila,Handline
Kisuna,Ring_net
Cheka nao,Longline
BinAyubu,Ring_net
SEAZONE,Handline
